,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,participation_event,name,first_doc,institution,ind_prod,min_book_year,min_book_chapter_year,min_article_year,min_work_in_event_year,min_text_in_newspaper_magazine_year,min_patent_year,min_guidance_year,min_software
87,b0478429-d8e9-4692-84d9-650c894855a2,1,1,,1,14,10,12,1,3,2,,,2,4,,27,Doutorado,1,6,4,12,,1,,15,,1,10,Antonio de Santana Santos,2003,UESC,34.615,2020,,1996,1995,,2021,2008.0,2022.0
88,1a7bee0e-bb7d-4e03-aa13-959521cf7d47,,,,2,,4,6,6,3,,,,,2,11,43,Doutorado,,2,2,7,3,,,47,,8,47,Janice Cassia Lando,2012,UESB,13.25,2007,2005,2006,2001,,,2001.0,
89,0b90d393-f376-4b2a-9c3c-9602628a1e8c,,,,1,4,5,,,,,,,3,2,1,41,Doutorado,,6,2,7,,,,2,,1,31,Marcelo Eça Rocha,2016,UESB,8.375,2020,2023,2003,2002,,,2010.0,
90,850b685e-be04-4880-b76a-cd0abe98732a,,,,2,,1,3,28,4,26,4,16,1,13,26,266,Doutorado,,21,1,28,2,16,,9,,,104,Manoel Abilio de Queiroz,1984,UNEB,35.245,1999,1999,1978,1973,,,1994.0,
91,c393f83d-527e-445c-835a-7d1f7dd8a8d3,,,,1,5,,2,2,3,6,,1,2,,11,26,Doutorado,3,8,2,9,,,,20,,,52,Dalton Longue Júnior,2013,UESB,11.594999999999999,2024,2015,2007,2002,,,2015.0,
92,0c01781a-ce05-461c-86e4-e160fd1ee0b7,,,,,1,,1,2,5,1,,,1,4,3,20,Pós-Doutorado,,11,3,6,,,,6,,1,17,Talita Fontoura Alves,2005,UESC,5.87,,1997,1991,1988,1988,,2005.0,
93,d15d32c1-65bc-48ba-ab0c-720ab023b297,,,,,8,6,,3,5,1,4,,1,4,12,174,Doutorado,3,77,4,14,,2,,14,,4,72,Rosenira Serpa da Cruz,2001,UESC,18.995,,1998,1998,1995,,,2001.0,
94,0c3d1250-5286-4dce-a8c5-b8dae6a557fa,,,,7,21,12,12,6,15,14,,1,3,5,23,65,Pós-Doutorado,,7,8,4,5,11,,25,,,66,Geilsa Costa Santos Baptista,2011,UEFS,57.055,2014,2006,2002,1996,1998,,2007.0,
95,549893cb-dcb3-4eae-8a40-51d4594006c4,,,,1,,5,,2,,,1,,,1,9,56,Doutorado,2,,,,,,,30,,3,104,Rita Virginia Alves Santos Argollo,2012,UESC,5.875,2019,2006,2010,2005,1993,,2003.0,
96,f6425286-e051-4aa1-ad4c-6be656628bdc,,,,,,2,2,,,1,,,,,1,36,Doutorado,1,16,3,15,,,,4,,,14,Tereza Simonne Mascarenhas Santos,2004,UEFS,3.62,,2020,2013,1995,,,2008.0,
97,9fe2c97a-bb01-4bd8-81b1-9c8f7897ffcd,,,,,,,1,,,,,,,2,1,12,Mestrado,,,,,,,,4,,2,31,Lígia Maria Portela Da Silva,None,UESB,0.75,,2012,2004,2003,,,2004.0,
98,59e8fa75-0cca-4d04-bbd7-4cf58f8d991d,,,,2,,,,,,1,,,,4,5,12,Doutorado,,2,,,,,,13,,,67,Dayane Moreira Lemos,2023,UICL,0.37,2021,2016,2010,2010,,,2013.0,
